wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,949.9851580551451
0x06b51c6882b27cb05e712185531c1f74996dd988,6.891029820266514
0x0795732aacc448030ef374374eaae57d2965c16c,4.855128890216364
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,660.1290199445448
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,6.652647126314597
0x104ae61d8d487ad689969a17807ddc338b445416,10.1238565406087
0x111c7208a7e2af345d36b6d4aace8740d61a3078,7.948672157306738
0x124853fecb522c57d9bd5c21231058696ca6d596,10.108266957272798
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,3.651908300167173
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,735.7758312554047
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,6.653621874002499
0x19df3e87f73c4aaf4809295561465b993e102668,144.2671340807099
0x1ab2ccad4fc97c9968ea87d4435326715be32872,6.125330878195262
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,316.57248073458635
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,0.37573619514485784
0x22d7510588d90ed5a87e0f838391aaafa707c34b,512.1240164353071
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,50.56978629599179
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,13.777583014847876
0x27f72a000d8e9f324583f3a3491ea66998275b28,5.393764029931084
0x2844658bf341db96aa247259824f42025e3bcec2,4.528590573912384
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,4.827654653582573
0x330513970efd9e8dd606275fb4c50378989b3204,294.4779158690844
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,243.5934820471425
0x3867d222ba91236ad4d12c31056626f9e798629c,2.803508081770758
0x3a44be4581137019f83021eeee72b7dc57756069,4.4187510770135505
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,5.381853904618919
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,376.72917528591535
0x4814be124d7fe3b240eb46061f7ddfab468fe122,451.94663316160523
0x4839e666e2baf12a51bf004392b35972eeddeabf,88.93875799293951
0x4c4d05fe859279c91b074429b5fc451182cec745,5.431691681314184
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,401.2528966531569
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,7.373047313412439
0x4e61251336c32e4fe6bfd5fab014846599321389,6.802907682643071
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,8.466487560207666
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,123.84563173315466
0x54e19653be9d4143b08994906be0e27555e8834d,8.995398790794884
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,5.806844199839963
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,30.38401682833284
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,22.83439511146001
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,5.6962213312821195
0x58d68d4bcf9725e40353379cec92b90332561683,302.100701421703
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,3.147616886996043
0x612a3500559be7be7703de6dc397afb541a16f7f,312.4489160906825
0x623af911f493747c216ad389c7805a37019c662d,434.75001990250047
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,28.585732176158874
0x6d69ca3711e504658977367e13c300ab198379f1,5.936614034053564
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,37.73894859066675
0x70c1864282599a762c674dd9d567b37e13bce755,5.288892045497443
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,300.5006238493947
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,3.9324031162761512
0x767055590c73b7d2aaa6219da13807c493f91a20,2.812458491234587
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,58.03129389606215
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,25.608726143862878
